Set Name,With Oracle,With Oracle Avg,Without Oracle,Without Oracle Avg
Kaldheim,10338,33.895081967213116,8263,27.091803278688523
Ice Age,9544,25.587131367292226,7799,20.908847184986595
Time Spiral,8436,29.496503496503497,5652,19.762237762237763
Zendikar Rising,7061,26.151851851851852,7936,29.392592592592592
Fifth Edition,8042,18.52995391705069,6885,15.86405529953917
Mirage,6702,20.00597014925373,7870,23.492537313432837
Throne of Eldraine,6700,23.50877192982456,7666,26.898245614035087
Theros Beyond Death,6489,23.76923076923077,7457,27.315018315018314
Onslaught,7516,22.435820895522387,5987,17.871641791044777
Shadows over Innistrad,6341,22.094076655052266,7503,26.142857142857142
Core Set 2021,6154,21.59298245614035,6972,24.46315789473684
Core Set 2020,6140,18.662613981762917,7003,21.285714285714285
Ikoria: Lair of Behemoths,7367,27.8,5682,21.441509433962263
Invasion,6096,18.197014925373136,6773,20.217910447761195
Lorwyn,7335,25.646853146853147,5664,19.804195804195803
War of the Spark,6054,22.845283018867924,7045,26.58490566037736
Odyssey,5924,17.68358208955224,6617,19.752238805970148
Legends,5715,18.43548387096774,6788,21.89677419354839
Fourth Edition Foreign Black Border,6804,18.48913043478261,5648,15.347826086956522
Fourth Edition,6804,18.48913043478261,5648,15.347826086956522
Dragons of Tarkir,6764,26.62992125984252,4631,18.23228346456693
Magic Origins,6712,24.586080586080588,5187,19.0
Mercadian Masques,5580,16.65671641791045,5877,17.54328358208955
Champions of Kamigawa,5355,18.4020618556701,6609,22.711340206185568
Ravnica Allegiance,5310,19.813432835820894,6214,23.186567164179106
Guilds of Ravnica,6511,24.294776119402986,5017,18.720149253731343
Dominaria,5244,19.788679245283017,6233,23.52075471698113
Amonkhet,6428,23.63235294117647,5223,19.202205882352942
Ravnica: City of Guilds,6394,21.972508591065292,5040,17.31958762886598
Kaladesh,5187,19.647727272727273,6119,23.178030303030305
Urza's Saga,5164,15.414925373134329,6080,18.149253731343283
Battle for Zendikar,6186,24.35433070866142,5100,20.078740157480315
Tempest,5149,15.370149253731343,5951,17.764179104477613
Zendikar,5089,21.747863247863247,5691,24.32051282051282
Shadowmoor,6061,21.192307692307693,4740,16.573426573426573
Ixalan,5995,21.87956204379562,4946,18.05109489051095
Core Set 2019,5034,16.836120401337794,5655,18.91304347826087
Magic 2015,5932,22.052044609665426,4478,16.646840148698885
Mirrodin,4865,16.718213058419245,5685,19.536082474226806
Khans of Tarkir,5734,22.5748031496063,4389,17.27952755905512
Tenth Edition,5705,15.502717391304348,4439,12.0625
Eldritch Moon,4687,22.533653846153847,5452,26.21153846153846
Theros,5690,24.316239316239315,4104,17.53846153846154
Innistrad,4490,17.677165354330707,5212,20.519685039370078
Gatecrash,4464,17.927710843373493,5591,22.453815261044177
Unlimited Edition,4449,15.236301369863014,5219,17.873287671232877
Future Sight,5581,31.005555555555556,3368,18.711111111111112
Limited Edition Beta,4449,15.236301369863014,5219,17.873287671232877
Return to Ravnica,5254,20.68503937007874,3935,15.492125984251969
Limited Edition Alpha,4429,15.272413793103448,5194,17.910344827586208
Summer Magic / Edgar,4319,14.591216216216216,5151,17.402027027027028
Foreign Black Border,4319,14.591216216216216,5151,17.402027027027028
Revised Edition,4319,14.591216216216216,5151,17.402027027027028
Scars of Mirrodin,4214,18.00854700854701,4962,21.205128205128204
Aether Revolt,4193,21.61340206185567,4859,25.04639175257732
Rise of the Eldrazi,5060,21.716738197424892,3980,17.081545064377682
Rivals of Ixalan,4077,19.88780487804878,4889,23.848780487804877
Hour of Devastation,4983,25.040201005025125,4049,20.34673366834171
Dissension,4001,22.227777777777778,4619,25.66111111111111
Avacyn Restored,4918,21.017094017094017,3808,16.273504273504273
Classic Sixth Edition,3998,11.934328358208955,4509,13.459701492537313
Fate Reforged,4849,26.93888888888889,3580,19.88888888888889
Planar Chaos,4847,29.375757575757575,3412,20.67878787878788
Shards of Alara,3740,15.982905982905983,4811,20.55982905982906
Alliances,3684,25.583333333333332,4302,29.875
Ninth Edition,4639,13.48546511627907,3628,10.546511627906977
Betrayers of Kamigawa,3655,22.151515151515152,4628,28.048484848484847
Eighth Edition,3643,10.652046783625732,4258,12.450292397660819
Eventide,3608,20.044444444444444,4493,24.961111111111112
Coldsnap,4416,28.490322580645163,2971,19.16774193548387
Oath of the Gatewatch,3578,19.55191256830601,4413,24.114754098360656
Visions,3440,20.59880239520958,4057,24.293413173652695
Born of the Gods,4373,26.503030303030304,3135,19.0
Magic 2014,3427,14.645299145299145,4146,17.71794871794872
Saviors of Kamigawa,3393,20.563636363636363,4044,24.509090909090908
Morningtide,4218,28.12,3392,22.613333333333333
Magic 2013,4115,17.585470085470085,3290,14.05982905982906
Seventh Edition,3359,10.026865671641792,3930,11.73134328358209
Journey into Nyx,3326,20.157575757575756,3949,23.933333333333334
Worldwake,3324,22.924137931034483,3666,25.282758620689656
Dark Ascension,4017,25.424050632911392,3118,19.734177215189874
Magic 2012,4012,17.145299145299145,3274,13.991452991452991
New Phyrexia,3983,23.429411764705883,3077,18.1
Apocalypse,3170,22.167832167832167,3361,23.503496503496503
Magic 2011,3169,13.542735042735043,3707,15.841880341880342
Darksteel,3785,22.939393939393938,3025,18.333333333333332
Planeshift,3127,21.867132867132867,3414,23.874125874125873
Dragon's Maze,3757,24.083333333333332,2877,18.442307692307693
Guildpact,3690,22.363636363636363,3005,18.21212121212121
Torment,3074,21.496503496503497,3517,24.594405594405593
Scourge,3624,25.342657342657343,2686,18.783216783216783
Weatherlight,3612,21.62874251497006,2892,17.317365269461078
Judgment,2997,20.958041958041957,3354,23.454545454545453
Fifth Dawn,3570,21.636363636363637,2745,16.636363636363637
Alara Reborn,3556,24.52413793103448,2444,16.855172413793102
Magic 2010,2921,12.482905982905983,3496,14.94017094017094
Legions,3414,23.544827586206896,2222,15.324137931034484
Nemesis,2757,19.27972027972028,3352,23.44055944055944
Exodus,2592,18.125874125874127,2985,20.874125874125873
Fallen Empires,2524,24.745098039215687,2765,27.107843137254903
Conflux,3067,21.151724137931033,2476,17.075862068965517
Prophecy,2497,17.46153846153846,2626,18.363636363636363
Mirrodin Besieged,2995,19.966666666666665,2269,15.126666666666667
Time Spiral Timeshifted,2446,20.214876033057852,2904,24.0
Urza's Legacy,2818,19.706293706293707,2212,15.468531468531468
Stronghold,2435,17.027972027972027,2764,19.32867132867133
Urza's Destiny,2270,15.874125874125873,2544,17.79020979020979
Homelands,2268,19.721739130434784,2452,21.321739130434782
The Dark,2483,20.865546218487395,2201,18.49579831932773
Antiquities,2039,23.988235294117647,1838,21.623529411764707
Arabian Nights,1706,21.871794871794872,1507,19.32051282051282
